Question,Answer
How do I track my order?,"You can track your order using the Order ID found in your confirmation email. Visit the 'Track Order' page for real-time updates."
Where can I find my tracking number?,"Your tracking number is included in your order confirmation email and under 'My Orders' in your account."
My tracking link is not working,"Tracking updates may take 24-48 hours to show. Please try again later."
Can I track my shipment without an account?,"Yes! Just enter your Order ID and email on the 'Track Order' page."
My order shows 'Shipped' but not moving,"Sometimes courier systems delay updates. Please check again in a few hours."
What does ‘Out for delivery’ mean?,"It means your order is with the courier and arriving today 📦."
My order says delivered but I didn’t receive it,"Please check with neighbors or building security first. If still missing, contact support."
Tracking status stuck on processing,"This means we are preparing your order — shipping will update soon."
Can I change delivery location after ordering?,"Address changes are only possible before dispatch. Contact support immediately."
How long does delivery take?,"Standard delivery takes 3-7 business days based on your location."
How do I reset my password?,"Go to Account Settings → Reset Password and follow the instructions."
I forgot my password,"Tap ‘Forgot Password’ on login and follow the verification steps."
Why am I not receiving reset emails?,"Check spam/junk folder. If still missing, ensure your registered email is correct."
How do I change my registered email?,"Go to Account Settings → Personal Info → Edit Email."
How do I change my phone number?,"Visit Profile settings → Phone and update your number."
How do I delete my account?,"You can request permanent account deletion under Settings → Privacy → Delete Account."
How do I recover account access?,"Use 'Forgot Password' and verify with phone or email."
How do I apply a discount code?,"Enter your promo code during checkout before payment."
My promo code isn’t working,"Ensure the code isn’t expired and meets conditions such as minimum order value."
Where do I get discount coupons?,"Subscribe to notifications or check seasonal sale banners for offers."
Can I stack multiple promo codes?,"Only one promo code can be applied per order."
Is there student or military discount?,"We occasionally run exclusive discount campaigns — stay tuned!"
How can I cancel my order?,"Orders can be cancelled within 1 hour from placing them from the ‘My Orders’ page."
Can I cancel after it is shipped?,"Once shipped, cancellation isn’t guaranteed. You may request return after delivery."
How do I return a product?,"Go to My Orders → Select Item → Request Return and follow the instructions."
Can I return without original packaging?,"Original packaging is recommended. Partial packaging may affect approval."
How long does refund take?,"Refund processing takes 5-7 business days depending on payment method."
Can I exchange my order?,"Yes, you can request an exchange for eligible items under Returns."
Why was my return rejected?,"Return policy conditions, product damage, or missing items may lead to rejection."
Can I return sale items?,"Sale items may have special conditions — check return policy before purchase."
What payment methods are accepted?,"We accept UPI, credit/debit cards, wallet payments, and cash on delivery."
Payment failed but money deducted,"Amount will automatically be refunded within 24-72 hours."
Is Cash On Delivery available?,"Yes, COD is available in selected regions."
My card payment keeps failing,"Ensure card details are correct or try another payment method."
Is EMI available?,"EMI is available on eligible products and bank cards."
Can I change payment method after ordering?,"Payment method cannot be changed once the order is placed."
App not working,"Try closing the app and reopening. If issue continues, update to the latest version."
App crash,"Restart your device and try again. Updating the app usually fixes crashes."
Website not loading,"Please check your internet connection or try refreshing the page."
Slow app,"Closing background apps or updating the app may improve performance."
Search not working,"Try clearing app cache or checking internet connection."
Cannot add to cart,"Refresh the page or restart the app — sometimes cache causes delays."
Stuck on checkout,"Go back one step and reopen the checkout page."
Notifications not coming,"Enable notifications for ShopEase in your phone settings."
How to enable dark mode,"Dark mode can be enabled under Appearance settings."
How to update the app,"Visit Google Play or App Store and tap Update."
Language change,"You can change language under App Settings → Language."
Help,"Tell me what you need help with 😊."
Customer support,"If you'd like a real support agent, just ask and I’ll escalate."
How to contact support,"Type 'human agent' and I’ll notify customer support."
Call support,"Phone support is available in selected regions — online chat supports all users."
Email support,"You can reach us through help@shopease.com or escalate through chatbot."
Human agent,"Okay — I’ll connect you to a live support agent 😊."
Talk to a person,"I’ve notified support. Someone will contact you shortly."
Escalate support request,"Your request has been escalated — please wait for an agent."
I need help,"I’m here to assist you 😊 — please ask your question."
